型號,定位精度(mm),重現精度(mm),公司,主軸功率(kw),主軸轉速(rpm),X行程(mm),Y行程(mm),Z行程(mm),屬性,備註
AHM-800/L,0.008,0.003,亞崴機電,22,6000,1700,1350,1200,臥式加工中心機
AHM-1000/L,0.008,0.003,亞崴機電,22,6000,1700,1350,1200,臥式加工中心機
AHM-800APC,0.008,0.003,亞崴機電,22,6000,1700,1150,1200,臥式加工中心機
AHM-1000APC,0.008,0.003,亞崴機電,22,6000,1700,1150,1200,臥式加工中心機
MVP-32,0.02,0.006,亞崴機電,22,4000,,,,龍門型五面加工中心機
MVP-4032,0.02,0.006,亞崴機電,22,4000,4000,3200,1000,龍門型五面加工中心機
MVP-5032,0.02,0.006,亞崴機電,22,4000,5000,3200,1000,龍門型五面加工中心機
MVP-6032,0.02,0.006,亞崴機電,22,4000,6000,3200,1000,龍門型五面加工中心機
MVP-7032,0.02,0.006,亞崴機電,22,4000,7000,3200,1000,龍門型五面加工中心機
MVP-8032,0.02,0.006,亞崴機電,22,4000,8000,3200,1000,龍門型五面加工中心機
MVP-40,0.02,0.006,亞崴機電,22,4000,,,,龍門型五面加工中心機
MVP-4040,0.02,0.006,亞崴機電,22,4000,4000,4000,1000,龍門型五面加工中心機
MVP-5040,0.02,0.006,亞崴機電,22,4000,5000,4000,1000,龍門型五面加工中心機
MVP-6040,0.02,0.006,亞崴機電,22,4000,6000,4000,1000,龍門型五面加工中心機,
MVP-7040,0.02,0.006,亞崴機電,22,4000,7000,4000,1000,龍門型五面加工中心機,
MVP-8040,0.02,0.006,亞崴機電,22,4000,8000,4000,1000,龍門型五面加工中心機,
MOCK-LATHE-01,0.01,0.005,通用設備,15,4000,1000,,,車床,通用車床（mock 補項；無實際機台 採購 / 委外加工）
MOCK-LATHE-02,0.005,0.003,通用設備,11,5000,800,,,精密車床,精密車床（mock 補項；建議委外）
MOCK-OD-GRIND-01,0.005,0.003,通用設備,7.5,3000,1500,,,外圓磨床,外圓磨床（mock 補項；委外加工）
MOCK-OD-GRIND-02,0.002,0.0015,通用設備,11,3500,1500,,,精密外圓磨床,精密外圓磨床（mock 補項；達 IT3 級需委外）
MOCK-ID-GRIND-01,0.005,0.003,通用設備,5,4000,800,,,內圓磨床,內圓磨床（mock 補項；委外加工）
MOCK-ID-GRIND-02,0.002,0.0015,通用設備,7.5,5000,800,,,精密內圓磨床,精密內圓磨床（mock 補項；達 IT3-4 級需委外）
MOCK-SURF-GRIND-01,0.005,0.003,通用設備,7.5,3000,1500,800,,平面磨床,平面磨床（mock 補項；委外加工）
MOCK-HONE-01,0.003,0.002,通用設備,3,1500,500,,,搪磨機,搪磨機（mock 補項；委外加工）
MOCK-LAP-01,0.001,0.0005,通用設備,2,1000,400,400,,研磨拋光機,精密研磨拋光（mock 補項；委外加工）
MOCK-BROACH-01,0.01,0.005,通用設備,15,500,800,,,拉床,拉床（mock 補項；委外加工）
MOCK-DIAMOND-BORE-01,0.003,0.002,通用設備,7.5,5000,1000,,,金剛鏜床,金剛鏜（mock 補項；達 IT4 軸承座孔需委外）
