n,r,m
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制特徵相對基準之角度偏差。公差區域限制在相距t,且與基準線斜交成標註角度之兩平行平面之間。,rdfs__label: AngularityTolerance,uri: 傾斜度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__subPropertyOf],(:Resource:owl__ObjectProperty {uri: 有參考公差})
(:Resource:owl__Class {uri: 零件}),[:rdfs__range],(:Resource:owl__ObjectProperty {uri: 有零件})
(:Resource:owl__Class {uri: 零件}),[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有特徵面})
"(:Resource:owl__Class {rdfs__comment: 控制直線或軸線直線程度之公差。當投影在一平面上時,公差區域限制在相距為t之兩平行直線間。,rdfs__label: StraightnessTolerance(Str),uri: 真直度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制直線或軸線直線程度之公差。當投影在一平面上時,公差區域限制在相距為t之兩平行直線間。,rdfs__label: StraightnessTolerance(Str),uri: 真直度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
"(:Resource:owl__Class {rdfs__label: 控制圓形截面圓度之公差。在圖示平面內之公差區域限制在相距為 t之兩同心圓間。,uri: 真圓度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})"
"(:Resource:owl__Class {rdfs__label: 控制圓形截面圓度之公差。在圖示平面內之公差區域限制在相距為 t之兩同心圓間。,uri: 真圓度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
(:Resource:owl__Class {uri: 外圓柱面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 圓柱面})
"(:Resource:owl__Class {rdfs__comment: 控制兩特徵間距離允許變動範圍。,rdfs__label: DistanceTolerance(Dis),uri: 距離公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制兩特徵間距離允許變動範圍。,rdfs__label: DistanceTolerance(Dis),uri: 距離公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 限制受測特徵（點、線、面）相對於基準在理想位置上變動量的一類幾何公差。包含位置度、同心度、對稱度及距離公差。,rdfs__label: UpperDeviation,uri: 位置類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制單一截面輪廓形狀偏差之公差。公差區域限制在以直徑為t之圓所形成之兩包絡線之間,各圓之圓心均位於一真確幾何形狀之曲線上。,rdfs__label: ProfileOfLineTolerance,uri: 線輪廓度公差})",[:owl__disjointWith],"(:Resource:owl__Class {rdfs__comment: 控制整體曲面輪廓偏差之公差。公差區域限制在以直徑為t之球所形成之兩包絡面之間,各球心均位於一真確幾何形狀之曲面上。,rdfs__label: ProfileOfSurfaceTolerance,uri: 面輪廓度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制單一截面輪廓形狀偏差之公差。公差區域限制在以直徑為t之圓所形成之兩包絡線之間,各圓之圓心均位於一真確幾何形狀之曲線上。,rdfs__label: ProfileOfLineTolerance,uri: 線輪廓度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制線或曲面輪廓偏差之公差。,rdfs__label: ProfileTolerance,uri: 輪廓類公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵方向相對基準之偏差。,rdfs__label: OrientationTolerance,uri: 方向類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵相對基準之角度偏差。公差區域限制在相距t,且與基準線斜交成標註角度之兩平行平面之間。,rdfs__label: AngularityTolerance,uri: 傾斜度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵方向相對基準之偏差。,rdfs__label: OrientationTolerance,uri: 方向類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 用於表示最大極限尺寸與最小極限尺寸之差。,rdfs__label: Tolerance,uri: 公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵方向相對基準之偏差。,rdfs__label: OrientationTolerance,uri: 方向類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵與基準之垂直程度。公差區域限制在相距t且垂直於基準線/面之兩平行平面之間。,rdfs__label: PerpendicularityTolerance(Per),uri: 垂直度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵方向相對基準之偏差。,rdfs__label: OrientationTolerance,uri: 方向類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制特徵與基準之平行程度。公差區域限制在相距t且平行於基準線/面之兩平面之間。,rdfs__label: ParallelismTolerance(Par),uri: 平行度公差})"
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-2}),[:ns0__有交互參考公差],(:Resource:ns0__同心度公差:owl__NamedIndividual {uri: 工作臺-Co-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-1}),[:ns0__有交互參考公差],(:Resource:ns0__同心度公差:owl__NamedIndividual {uri: 工作臺-Co-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-1}),[:ns0__有個別參考公差],(:Resource:ns0__圓柱度公差:owl__NamedIndividual {uri: 工作臺-Cyl-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 工作臺-Dia-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 工作臺-Dia-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-1}),[:ns0__有個別參考公差],(:Resource:ns0__真平度公差:owl__NamedIndividual {uri: 工作臺-Fla-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-1}),[:ns0__有交互參考公差],(:Resource:ns0__垂直度公差:owl__NamedIndividual {uri: 工作臺-Per-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__垂直度公差:owl__NamedIndividual {uri: 工作臺-Per-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-2}),[:ns0__有交互參考公差],(:Resource:ns0__垂直度公差:owl__NamedIndividual {uri: 工作臺-Per-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__垂直度公差:owl__NamedIndividual {uri: 工作臺-Per-2})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承座-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承座-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承座})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 軸承座-Dia-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-4}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 軸承座-Dia-4})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承座-S-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 軸承座-Dia-5})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-4}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 軸承座-Dis-3})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-5}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 軸承座-Dis-3})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-5}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 軸承座-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-6}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 軸承座-Par-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-2}),[:ns0__有個別參考公差],(:Resource:ns0__真圓度公差:owl__NamedIndividual {uri: 軸承座-Cir-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 軸承-Dia-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 軸承-Dia-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 軸承-Dia-3})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 軸承-Dia-4})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 軸承-Dis-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-2}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 軸承-Dis-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-1}),[:ns0__有個別參考公差],(:Resource:ns0__真平度公差:owl__NamedIndividual {uri: 軸承-Fla-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-2}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 軸承-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 軸承-Par-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 轉動軸-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 轉動軸})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 轉動軸-H-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 轉動軸-Dia-1})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 轉動軸-Dia-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-3}),[:ns0__有個別參考公差],(:Resource:ns0__真平度公差:owl__NamedIndividual {uri: 轉動軸-Fla-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 工作臺心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-3}),[:ns0__有交互參考公差],(:Resource:ns0__同心度公差:owl__NamedIndividual {uri: 工作臺心軸-Co-1})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-2}),[:ns0__有交互參考公差],(:Resource:ns0__同心度公差:owl__NamedIndividual {uri: 工作臺心軸-Co-1})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-3}),[:ns0__有個別參考公差],(:Resource:ns0__圓柱度公差:owl__NamedIndividual {uri: 工作臺心軸-Cyl-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-2}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 工作臺心軸-Dis-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 工作臺心軸-Dis-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 工作臺心軸-Dis-3})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 工作臺心軸-Dis-3})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-4}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 工作臺心軸-Dia-1})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-3}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 工作臺心軸-Dia-2})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 工作臺心軸-Dia-3})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 工作臺心軸-Dia-4})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-1}),[:ns0__有個別參考公差],(:Resource:ns0__真平度公差:owl__NamedIndividual {uri: 工作臺心軸-Fla-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-2}),[:ns0__有個別參考公差],(:Resource:ns0__真平度公差:owl__NamedIndividual {uri: 工作臺心軸-Fla-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-2}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 工作臺心軸-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 工作臺心軸-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 工作臺心軸-Par-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 工作臺心軸-Par-2})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-2}),[:ns0__有交互參考公差],(:Resource:ns0__垂直度公差:owl__NamedIndividual {uri: 工作臺心軸-Per-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__垂直度公差:owl__NamedIndividual {uri: 工作臺心軸-Per-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達水套-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達水套-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達水套-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達水套})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 馬達水套-Dis-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-3}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 馬達水套-Dis-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-3}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 馬達水套-Par-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-1}),[:ns0__有交互參考公差],(:Resource:ns0__平行度公差:owl__NamedIndividual {uri: 馬達水套-Par-1})
(:Resource:ns0__組合件:owl__NamedIndividual {uri: RAS400}),[:ns0__有零件],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 編碼器心軸})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-2}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 編碼器心軸-Dia-2})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-1}),[:ns0__有個別參考公差],(:Resource:ns0__直徑公差:owl__NamedIndividual {uri: 編碼器心軸-Dia-4})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-3}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 編碼器心軸-Dis-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-4}),[:ns0__有交互參考公差],(:Resource:ns0__距離公差:owl__NamedIndividual {uri: 編碼器心軸-Dis-2})
