n,r,m
"(:Resource:owl__Class {rdfs__comment: 限制受測特徵（點、線、面）相對於基準在理想位置上變動量的一類幾何公差。包含位置度、同心度、對稱度及距離公差。,rdfs__label: UpperDeviation,uri: 位置類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制兩特徵間距離允許變動範圍。,rdfs__label: DistanceTolerance(Dis),uri: 距離公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵相對基準對稱程度。,rdfs__label: SymmetryTolerance(Sym),uri: 對稱度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制特徵相對基準對稱程度。,rdfs__label: SymmetryTolerance(Sym),uri: 對稱度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 限制受測特徵（點、線、面）相對於基準在理想位置上變動量的一類幾何公差。包含位置度、同心度、對稱度及距離公差。,rdfs__label: UpperDeviation,uri: 位置類公差})"
(:Resource:owl__DatatypeProperty {uri: 公差值}),[:rdfs__subPropertyOf],"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制直線或軸線直線程度之公差。當投影在一平面上時,公差區域限制在相距為t之兩平行直線間。,rdfs__label: StraightnessTolerance(Str),uri: 真直度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__label: 控制平面平整程度之公差。公差區域限制在距離為t之兩平行平面間。,uri: 真平度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__label: 控制圓形截面圓度之公差。在圖示平面內之公差區域限制在相距為 t之兩同心圓間。,uri: 真圓度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制圓柱面形狀偏差之公差。公差區域限制在相距t之兩同軸線圓柱面之間。,rdfs__label: CylindricityTolerance(Cyl),uri: 圓柱度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制特徵自身幾何形狀之公差。,rdfs__label: FormTolerance,uri: 形狀類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 用於表示最大極限尺寸與最小極限尺寸之差。,rdfs__label: Tolerance,uri: 公差})"
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制圓柱或孔直徑允許變動範圍。,rdfs__label: DiameterTolerance(Dia),uri: 直徑公差})"
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__label: 控制圓形截面圓度之公差。在圖示平面內之公差區域限制在相距為 t之兩同心圓間。,uri: 真圓度公差})"
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__subPropertyOf],(:Resource:owl__ObjectProperty {uri: 有參考公差})
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__range],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制圓柱面形狀偏差之公差。公差區域限制在相距t之兩同軸線圓柱面之間。,rdfs__label: CylindricityTolerance(Cyl),uri: 圓柱度公差})"
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__label: 控制平面平整程度之公差。公差區域限制在距離為t之兩平行平面間。,uri: 真平度公差})"
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制直線或軸線直線程度之公差。當投影在一平面上時,公差區域限制在相距為t之兩平行直線間。,rdfs__label: StraightnessTolerance(Str),uri: 真直度公差})"
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制圓弧或圓形特徵半徑允許變動範圍。,rdfs__label: RadiusTolerance(Rad),uri: 半徑公差})"
(:Resource:owl__ObjectProperty {uri: 有個別參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制角度尺寸允許變動範圍。,rdfs__label: AngularSizeTolerance(Ang),uri: 角度公差})"
(:Resource:owl__DatatypeProperty {uri: 下偏差}),[:rdfs__subPropertyOf],"(:Resource {rdfs__comment: Unit
UpperDeviation
LowerDeviation
ToleranceValue
NominalValue
ActualValue
AssemblyResultValue,owl__deprecated: true,uri: topDataProperty})"
(:Resource:owl__ObjectProperty {uri: 有特徵面}),[:rdfs__subPropertyOf],(:Resource {uri: topObjectProperty})
(:Resource:owl__ObjectProperty {uri: 有特徵面}),[:rdfs__range],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__ObjectProperty {uri: 有特徵面}),[:rdfs__domain],(:Resource:owl__Class {uri: 零件})
"(:Resource:owl__Class {rdfs__comment: 控制旋轉特徵偏擺情形之公差。,rdfs__label: RunoutTolerance,uri: 偏轉類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制單一截面之圓周偏擺程度。,rdfs__label: CircularRunoutTolerance,uri: 圓偏轉度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制旋轉特徵偏擺情形之公差。,rdfs__label: RunoutTolerance,uri: 偏轉類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 用於表示最大極限尺寸與最小極限尺寸之差。,rdfs__label: Tolerance,uri: 公差})"
"(:Resource:owl__Class {rdfs__comment: 控制旋轉特徵偏擺情形之公差。,rdfs__label: RunoutTolerance,uri: 偏轉類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制整體表面之總偏擺程度。,rdfs__label: TotalRunoutTolerance,uri: 總偏轉度公差})"
(:Resource:owl__Class {uri: 內圓柱面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 圓柱面})
"(:Resource:owl__Class {rdfs__comment: 控制單一截面之圓周偏擺程度。,rdfs__label: CircularRunoutTolerance,uri: 圓偏轉度公差})",[:owl__disjointWith],"(:Resource:owl__Class {rdfs__comment: 控制整體表面之總偏擺程度。,rdfs__label: TotalRunoutTolerance,uri: 總偏轉度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制單一截面之圓周偏擺程度。,rdfs__label: CircularRunoutTolerance,uri: 圓偏轉度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制單一截面之圓周偏擺程度。,rdfs__label: CircularRunoutTolerance,uri: 圓偏轉度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制旋轉特徵偏擺情形之公差。,rdfs__label: RunoutTolerance,uri: 偏轉類公差})"
