n,r,m
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-14}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-15}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-8}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-16}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-17}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-9}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-18}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-19}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-20}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-21}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-22}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-23}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-24}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-25}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-26}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-27}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-28}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-10}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-29}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-30}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-11}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-31}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-12}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-32}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-33}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-34}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-35}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-13}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-36}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-37}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-14}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-38}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-39}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-15}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-40}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-41}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-16}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-42}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-17}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-43}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-44}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-45}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-46}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-47}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-48}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-49}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-50}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-51}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-18}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-52}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-53}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-54}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-19}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-55}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-56}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-57}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-20}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-58}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-21}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 軸承})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達-S-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 馬達-C-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 馬達-C-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-1}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-3}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-4}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-5}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-7}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-6}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-8}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達-S-2}),[:ns0__有特徵面],(:Resource:ns0__零件:owl__NamedIndividual {uri: 馬達})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-4}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-5}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 分流座-H-6}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-4})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-5})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-8})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-4}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-3})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-4}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-4})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-7}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-9})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-5}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-3})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 馬達-C-1}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達水套-H-1})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 馬達-C-2}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達水套-H-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-3})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 分流座-S-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-3})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺心軸-H-4}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺心軸-H-4}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-3})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-1}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-1})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承-C-8}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-16}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-19}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-2}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-6})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺-P-2}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-9})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-3})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺-C-4}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-6})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達水套-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-4})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-4})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達水套-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-6})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-2}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達水套-P-2}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-6})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達水套-S-2}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-2})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達水套-S-2}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承座-C-4})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 馬達-S-1}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達水套-H-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達座-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-6}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-6}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-4})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 馬達-C-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-2}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達座-P-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 分流座-P-5}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 分流座-C-6}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-3}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-3})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-4}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 轉動軸-H-1})
(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-7}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-3})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-4}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-3})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 工作臺心軸-H-4}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-4})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-4}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 工作臺心軸-S-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-3}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-5})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承-H-2}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 工作臺心軸-P-5})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-3}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 工作臺心軸-C-4})
(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 軸承-S-3}),[:ns0__有組裝接觸],(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 軸承座-H-1})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-16}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承座-P-5})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 軸承-P-16}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 軸承座-C-5})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 編碼器-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-4})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 編碼器-H-1}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 編碼器心軸-S-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器-P-1}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 編碼器心軸-P-4})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-5}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-7}),[:ns0__有組裝接觸],(:Resource:ns0__平面:owl__NamedIndividual {uri: 轉動軸-P-2})
(:Resource:ns0__平面:owl__NamedIndividual {uri: 馬達-P-7}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-1})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-5}),[:ns0__有組裝接觸],(:Resource:ns0__外圓柱面:owl__NamedIndividual {uri: 轉動軸-S-2})
(:Resource:ns0__內圓柱面:owl__NamedIndividual {uri: 馬達-H-5}),[:ns0__有組裝接觸],(:Resource:ns0__錐面:owl__NamedIndividual {uri: 轉動軸-C-6})
